# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  154       5.926189015344e-10       1.409426999658e-13      -6.065509327515e-12       0.000000000000e+00       3.289384205973e-12       6.002609846568e-13      -3.770035702839e-15 
  155       5.968067124962e-10       1.400481792030e-13      -6.056671401407e-12       0.000000000000e+00       3.228642807927e-12       5.914579362261e-13      -3.702872452945e-15 
  156       6.009643742050e-10       1.391024669631e-13      -6.044500399208e-12       0.000000000000e+00       3.169411781469e-12       5.828213705390e-13      -3.635638542527e-15 
  157       6.050904299720e-10       1.381073303073e-13      -6.028963023463e-12       0.000000000000e+00       3.111621142585e-12       5.743443299745e-13      -3.568381241118e-15 
  158       6.091833774580e-10       1.370646500323e-13      -6.010027710711e-12       0.000000000000e+00       3.055192909938e-12       5.660189118540e-13      -3.501147858486e-15 
  159       6.132416678684e-10       1.359764224133e-13      -5.987664671172e-12       0.000000000000e+00       3.000040948059e-12       5.578362492663e-13      -3.433985725034e-15 
  160       6.172637051467e-10       1.348447609463e-13      -5.961845928439e-12       0.000000000000e+00       2.946070810535e-12       5.497864918927e-13      -3.366942172203e-15 
  161       6.212479573977e-10       1.336718497134e-13      -5.932545241507e-12       0.000000000000e+00       2.893199092349e-12       5.418611055202e-13      -3.300062747024e-15 
  162       6.251933039184e-10       1.324597951824e-13      -5.899737779793e-12       0.000000000000e+00       2.841413739316e-12       5.340600393603e-13      -3.233385719505e-15 
  163       6.290987174589e-10       1.312107645711e-13      -5.863400495098e-12       0.000000000000e+00       2.790718797109e-12       5.263851588597e-13      -3.166947049800e-15 
  164       6.329631544677e-10       1.299270345549e-13      -5.823512275511e-12       0.000000000000e+00       2.741115315271e-12       5.188379755787e-13      -3.100782082864e-15 
  165       6.367855548028e-10       1.286109927871e-13      -5.780053984554e-12       0.000000000000e+00       2.692601280157e-12       5.114196386845e-13      -3.034925520736e-15 
