# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 36.0195 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.736917426249e-01       9.621020972027e+02 
       3.769095337743e-01       9.520839259721e+02 
       3.801273253160e-01       9.422602889602e+02 
       3.833451172401e-01       9.325643068509e+02 
       3.865629095371e-01       9.229484895023e+02 
       3.897807021975e-01       9.133865311741e+02 
       3.929984952125e-01       9.038692552391e+02 
       3.962162885733e-01       8.943901452139e+02 
       3.994340822717e-01       8.849579668769e+02 
       4.026518762994e-01       8.755903466919e+02 
       4.058696706487e-01       8.663170964911e+02 
       4.090874653118e-01       8.571808577317e+02 
       4.123052602814e-01       8.482128979208e+02 
       4.155230555504e-01       8.394536331777e+02 
       4.187408511118e-01       8.309215843101e+02 
       4.219586469590e-01       8.226288011784e+02 
       4.251764430853e-01       8.145728785734e+02 
       4.283942394846e-01       8.067453763291e+02 
       4.316120361506e-01       7.991343159222e+02 
       4.348298330774e-01       7.917273172622e+02 
       4.380476302593e-01       7.845088438689e+02 
       4.412654276906e-01       7.774653686247e+02 
       4.444832253659e-01       7.705717422441e+02 
       4.477010232800e-01       7.638029854248e+02 
       4.509188214277e-01       7.571339398630e+02 
       4.541366198040e-01       7.505426876415e+02 
       4.573544184041e-01       7.440179409147e+02 
       4.605722172233e-01       7.375543584988e+02 
       4.637900162569e-01       7.311537634206e+02 
       4.670078155006e-01       7.248182444709e+02 
       4.702256149501e-01       7.185554301805e+02 
       4.734434146010e-01       7.123711769057e+02 
       4.766612144494e-01       7.062700470372e+02 
       4.798790144912e-01       7.002594232185e+02 
       4.830968147225e-01       6.943471557103e+02 
       4.863146151397e-01       6.885435476051e+02 
       4.895324157389e-01       6.828536382356e+02 
       4.927502165167e-01       6.772898095331e+02 
       4.959680174695e-01       6.718455880967e+02 
       4.991858185939e-01       6.665149246879e+02 
       5.024036198867e-01       6.612902408652e+02 
       5.056214213446e-01       6.561567189988e+02 
       5.088392229645e-01       6.511054941659e+02 
       5.120570247432e-01       6.461302946794e+02 
       5.152748266779e-01       6.412249791032e+02 
       5.184926287656e-01       6.363850520848e+02 
       5.217104310035e-01       6.316055831971e+02 
       5.249282333888e-01       6.268805547920e+02 
       5.281460359187e-01       6.222058559037e+02 
       5.313638385907e-01       6.175790027066e+02 
       5.345816414022e-01       6.130011549900e+02 
       5.377994443507e-01       6.084761765623e+02 
       5.410172474337e-01       6.040092205758e+02 
       5.442350506489e-01       5.996048923211e+02 
       5.474528539938e-01       5.952655825600e+02 
       5.506706574662e-01       5.909906169683e+02 
       5.538884610640e-01       5.867780216530e+02 
       5.571062647848e-01       5.826252677617e+02 
       5.603240686266e-01       5.785325545969e+02 
       5.635418725873e-01       5.744983683228e+02 
       5.667596766649e-01       5.705236735042e+02 
       5.699774808573e-01       5.666079054102e+02 
       5.731952851627e-01       5.627480446729e+02 
       5.764130895792e-01       5.589406560053e+02 
       5.796308941049e-01       5.551804805919e+02 
       5.828486987379e-01       5.514638108719e+02 
       5.860665034765e-01       5.477885872328e+02 
       5.892843083190e-01       5.441538697540e+02 
       5.925021132637e-01       5.405604934489e+02 
       5.957199183089e-01       5.370098420993e+02 
       5.989377234530e-01       5.335006963156e+02 
       6.021555286944e-01       5.300298918189e+02 
       6.053733340315e-01       5.265963300158e+02 
       6.085911394629e-01       5.231990649977e+02 
       6.118089449869e-01       5.198382673442e+02 
       6.150267506023e-01       5.165156308344e+02 
       6.182445563075e-01       5.132326590537e+02 
       6.214623621011e-01       5.099911305522e+02 
       6.246801679819e-01       5.067913847415e+02 
       6.278979739483e-01       5.036297985726e+02 
       6.311157799992e-01       5.005052493138e+02 
       6.343335861332e-01       4.974156468565e+02 
       6.716080021207e-01       4.639661130345e+02 
       7.165587080684e-01       4.285344619029e+02 
       7.734657105414e-01       3.898575924103e+02 
       8.506992995603e-01       3.458550626235e+02 
       9.657758920951e-01       2.934872468591e+02 
       1.151710067618e+00       2.311726141627e+02 
       1.434587736270e+00       1.682198271628e+02 
       1.805258908884e+00       1.176874100451e+02 
       2.272677893038e+00       8.034137339900e+01 
       2.861131936309e+00       5.367522037318e+01 
       3.601951701112e+00       3.519370177815e+01 
       4.534588528585e+00       2.270247464555e+01 
       5.708708730666e+00       1.443299038359e+01 
       7.186838489566e+00       9.057413857794e+00 
       9.047693604975e+00       5.617543513040e+00 
       1.139037139743e+01       3.446882949358e+00 
       1.433962800200e+01       2.094414923109e+00 
       1.805252208739e+01       1.261190309374e+00 
       2.272677880279e+01       7.532484341900e-01 
       2.861131936306e+01       4.464623954010e-01 
       3.601951701112e+01       2.628096700770e-01 
