# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 11.3904 h/Mpc,
# number of wavenumbers equal to 581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.571062647848e-01       2.477584492417e+02 
       5.603240686266e-01       2.446897848984e+02 
       5.635418725873e-01       2.416789924681e+02 
       5.667596766649e-01       2.387269546686e+02 
       5.699774808573e-01       2.358330375716e+02 
       5.731952851627e-01       2.329941751069e+02 
       5.764130895792e-01       2.302068924507e+02 
       5.796308941049e-01       2.274659117347e+02 
       5.828486987379e-01       2.247674972550e+02 
       5.860665034765e-01       2.221095494228e+02 
       5.892843083190e-01       2.194910797963e+02 
       5.925021132637e-01       2.169128584398e+02 
       5.957199183089e-01       2.143761983458e+02 
       5.989377234530e-01       2.118798360286e+02 
       6.021555286944e-01       2.094205856933e+02 
       6.053733340315e-01       2.069973080041e+02 
       6.085911394629e-01       2.046090161549e+02 
       6.118089449869e-01       2.022558284848e+02 
       6.150267506023e-01       1.999393691923e+02 
       6.182445563075e-01       1.976610735737e+02 
       6.214623621011e-01       1.954226477861e+02 
       6.246801679819e-01       1.932243755668e+02 
       6.278979739483e-01       1.910626281430e+02 
       6.311157799992e-01       1.889362489344e+02 
       6.343335861332e-01       1.868431280717e+02 
       6.716080021207e-01       1.648024114110e+02 
       7.165587080684e-01       1.427552402729e+02 
       7.734657105414e-01       1.203483199450e+02 
       8.506992995603e-01       9.710163932113e+01 
       9.657758920951e-01       7.270143796604e+01 
       1.151710067618e+00       4.836985958040e+01 
       1.434587736270e+00       2.884243546117e+01 
       1.805258908884e+00       1.663216833074e+01 
       2.272677893038e+00       9.497336436427e+00 
       2.861131936309e+00       5.380253604925e+00 
       3.601951701112e+00       3.026033230731e+00 
       4.534588528585e+00       1.690848110278e+00 
       5.708708730666e+00       9.391487283033e-01 
       7.186838489566e+00       5.187879079332e-01 
       9.047693604975e+00       2.851435087928e-01 
       1.139037139743e+01       1.560013974494e-01 
