# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  223       7.536037041252e-10       1.279317324140e-13       2.666018182361e-12       0.000000000000e+00 
  224       7.532770641269e-10       1.319552335668e-13       2.884090192229e-12       0.000000000000e+00 
  225       7.528673025286e-10       1.362116698834e-13       3.103201608695e-12       0.000000000000e+00 
  226       7.523745865697e-10       1.407042892581e-13       3.323275801968e-12       0.000000000000e+00 
  227       7.517991099012e-10       1.454363175113e-13       3.544234405828e-12       0.000000000000e+00 
  228       7.511410928424e-10       1.504109576889e-13       3.765997305087e-12       0.000000000000e+00 
  229       7.504007826372e-10       1.556313893595e-13       3.988482623057e-12       0.000000000000e+00 
  230       7.495784537106e-10       1.611007679137e-13       4.211606709012e-12       0.000000000000e+00 
  231       7.486744079253e-10       1.668222238616e-13       4.435284125648e-12       0.000000000000e+00 
  232       7.476889748380e-10       1.727988621317e-13       4.659427636552e-12       0.000000000000e+00 
  233       7.466225119562e-10       1.790337613688e-13       4.883948193660e-12       0.000000000000e+00 
  234       7.454754049943e-10       1.855299732326e-13       5.108754924728e-12       0.000000000000e+00 
  235       7.442480681305e-10       1.922905216955e-13       5.333755120785e-12       0.000000000000e+00 
  236       7.429409442629e-10       1.993184023417e-13       5.558854223606e-12       0.000000000000e+00 
  237       7.415545052662e-10       2.066165816647e-13       5.783955813170e-12       0.000000000000e+00 
  238       7.400892522484e-10       2.141879963662e-13       6.008961595127e-12       0.000000000000e+00 
  239       7.385457158066e-10       2.220355526540e-13       6.233771388257e-12       0.000000000000e+00 
  240       7.369244562844e-10       2.301621255404e-13       6.458283111940e-12       0.000000000000e+00 
  241       7.352260640278e-10       2.385705581408e-13       6.682392773611e-12       0.000000000000e+00 
  242       7.334511596417e-10       2.472636609715e-13       6.905994456233e-12       0.000000000000e+00 
  243       7.316003942467e-10       2.562442112484e-13       7.128980305751e-12       0.000000000000e+00 
  244       7.296744497352e-10       2.655149521850e-13       7.351240518563e-12       0.000000000000e+00 
  245       7.276740390284e-10       2.750785922911e-13       7.572663328981e-12       0.000000000000e+00 
  246       7.255999063323e-10       2.849378046706e-13       7.793134996693e-12       0.000000000000e+00 
  247       7.234528273943e-10       2.950952263202e-13       8.012539794226e-12       0.000000000000e+00 
  248       7.212336097601e-10       3.055534574276e-13       8.230759994415e-12       0.000000000000e+00 
  249       7.189430930295e-10       3.163150606697e-13       8.447675857858e-12       0.000000000000e+00 
  250       7.165821195965e-10       3.273822036145e-13       8.663172950347e-12       0.000000000000e+00 
  251       7.141514444646e-10       3.387555644898e-13       8.877164589320e-12       0.000000000000e+00 
  252       7.116518207241e-10       3.504353618902e-13       9.089570668712e-12       0.000000000000e+00 
  253       7.090840287993e-10       3.624217046132e-13       9.300310447056e-12       0.000000000000e+00 
  254       7.064488766484e-10       3.747145902749e-13       9.509302548965e-12       0.000000000000e+00 
  255       7.037471999643e-10       3.873139039261e-13       9.716464966611e-12       0.000000000000e+00 
  256       7.009798623737e-10       4.002194166675e-13       9.921715061208e-12       0.000000000000e+00 
  257       6.981477556378e-10       4.134307842659e-13       1.012496956449e-11       0.000000000000e+00 
  258       6.952517998523e-10       4.269475457701e-13       1.032614458020e-11       0.000000000000e+00 
  259       6.922929436470e-10       4.407691221264e-13       1.052515558555e-11       0.000000000000e+00 
  260       6.892721643862e-10       4.548948147944e-13       1.072191743273e-11       0.000000000000e+00 
  261       6.861904683688e-10       4.693238043630e-13       1.091634435038e-11       0.000000000000e+00 
  262       6.830488910282e-10       4.840551491659e-13       1.110834994505e-11       0.000000000000e+00 
  263       6.798484971322e-10       4.990877838978e-13       1.129784720271e-11       0.000000000000e+00 
  264       6.765903809834e-10       5.144205182299e-13       1.148474849020e-11       0.000000000000e+00 
  265       6.732756666190e-10       5.300520354255e-13       1.166896555676e-11       0.000000000000e+00 
  266       6.699055080108e-10       5.459808909564e-13       1.185040953546e-11       0.000000000000e+00 
  267       6.664810892654e-10       5.622055111180e-13       1.202899094471e-11       0.000000000000e+00 
  268       6.630036248243e-10       5.787241916455e-13       1.220461968971e-11       0.000000000000e+00 
  269       6.594743596636e-10       5.955350963298e-13       1.237720506398e-11       0.000000000000e+00 
  270       6.558945694945e-10       6.126362556329e-13       1.254665575081e-11       0.000000000000e+00 
  271       6.522655609629e-10       6.300255653039e-13       1.271287982472e-11       0.000000000000e+00 
  272       6.485886718499e-10       6.477007849947e-13       1.287578475301e-11       0.000000000000e+00 
  273       6.448652712715e-10       6.656595368760e-13       1.303527739715e-11       0.000000000000e+00 
  274       6.410967598785e-10       6.838993042530e-13       1.319126401435e-11       0.000000000000e+00 
  275       6.372845700573e-10       7.024174301809e-13       1.334365025896e-11       0.000000000000e+00 
  276       6.334301661290e-10       7.212111160812e-13       1.349234118401e-11       0.000000000000e+00 
  277       6.295350445501e-10       7.402774203570e-13       1.363724124267e-11       0.000000000000e+00 
  278       6.256007341122e-10       7.596132570091e-13       1.377825428974e-11       0.000000000000e+00 
  279       6.216287145252e-10       7.792152997836e-13       1.391529126598e-11       0.000000000000e+00 
  280       6.176201670852e-10       7.990796919661e-13       1.404829368884e-11       0.000000000000e+00 
  281       6.135762114785e-10       8.192023188556e-13       1.417721138166e-11       0.000000000000e+00 
  282       6.094979863097e-10       8.395788993560e-13       1.430199491363e-11       0.000000000000e+00 
  283       6.053866491763e-10       8.602049844470e-13       1.442259561309e-11       0.000000000000e+00 
  284       6.012433767434e-10       8.810759556547e-13       1.453896558077e-11       0.000000000000e+00 
  285       5.970693648183e-10       9.021870235224e-13       1.465105770313e-11       0.000000000000e+00 
  286       5.928658284252e-10       9.235332260809e-13       1.475882566560e-11       0.000000000000e+00 
  287       5.886340018800e-10       9.451094273196e-13       1.486222396586e-11       0.000000000000e+00 
  288       5.843751388647e-10       9.669103156569e-13       1.496120792716e-11       0.000000000000e+00 
  289       5.800905125023e-10       9.889304024112e-13       1.505573371157e-11       0.000000000000e+00 
  290       5.757814154314e-10       1.011164020271e-12       1.514575833329e-11       0.000000000000e+00 
  291       5.714491598810e-10       1.033605321767e-12       1.523123967190e-11       0.000000000000e+00 
  292       5.670950777447e-10       1.056248277739e-12       1.531213648566e-11       0.000000000000e+00 
  293       5.627205206562e-10       1.079086675813e-12       1.538840842478e-11       0.000000000000e+00 
  294       5.583268600630e-10       1.102114118866e-12       1.546001604475e-11       0.000000000000e+00 
  295       5.539154873020e-10       1.125324023499e-12       1.552692081955e-11       0.000000000000e+00 
  296       5.494878136735e-10       1.148709618507e-12       1.558908515499e-11       0.000000000000e+00 
  297       5.450452705160e-10       1.172263943352e-12       1.564647240196e-11       0.000000000000e+00 
