#scalar perturbations for mode k = 1.000000000000e-07 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf          
       2.533612774075e+02       7.990029112573e-04      -1.641190615711e-10      -2.425261698020e-23       7.339085098965e-13       1.453798337909e-12       9.131004445836e-20       2.907596675819e-13      -1.230892961783e-10      -2.358674512440e-23       6.006140757064e-01       6.453100037886e-01      -1.641190615685e-10      -5.710978468298e-23       2.392373792488e-11      -1.230892961800e-10      -6.848394632398e-43      -2.363384396850e-23      -9.805996975434e-24 
       2.541299842512e+02       8.021951187446e-04      -1.650222020168e-10      -2.443986529542e-23       7.584377984974e-13       1.485192729072e-12       9.539739825370e-20       2.970385458143e-13      -1.237666515126e-10      -2.374620127747e-23       6.005751404543e-01       6.452277817930e-01      -1.650222020142e-10      -5.761049275997e-23       2.406392667211e-11      -1.237666515143e-10      -7.077936171098e-43      -2.201827079813e-23      -9.885276636781e-24 
       2.548986910949e+02       8.053919724432e-04      -1.659274306733e-10      -2.462833441760e-23       7.835125798026e-13       1.517781506535e-12       9.981321602027e-20       3.035563013071e-13      -1.244455730050e-10      -2.390558001031e-23       6.005357144916e-01       6.451459055324e-01      -1.659274306707e-10      -5.811401759931e-23       2.420450274608e-11      -1.244455730067e-10      -7.314558626126e-43      -2.034844931066e-23      -9.964907020167e-24 
       2.556673979385e+02       8.085934723531e-04      -1.668347456093e-10      -2.481804809123e-23       8.092174436929e-13       1.551454773393e-12       1.045551256058e-19       3.102909546786e-13      -1.251260592070e-10      -2.406485124766e-23       6.004956025432e-01       6.450643722867e-01      -1.668347456066e-10      -5.862036618656e-23       2.434546595523e-11      -1.251260592088e-10      -7.558459655482e-43      -1.862324919863e-23      -1.004491369281e-23 
       2.564361047822e+02       8.117996184743e-04      -1.677441449048e-10      -2.500903305398e-23       8.356228058766e-13       1.586126624955e-12       1.096236945993e-19       3.172253249910e-13      -1.258081086786e-10      -2.422398085994e-23       6.004546555186e-01       6.449831841767e-01      -1.677441449021e-10      -5.912954550519e-23       2.448681610796e-11      -1.258081086804e-10      -7.809841882905e-43      -1.684152429707e-23      -1.012530065888e-23 
       2.575813139623e+02       8.165847090890e-04      -1.691028174021e-10      -2.529598022504e-23       8.763874498451e-13       1.639488686023e-12       1.177876366832e-19       3.278977372047e-13      -1.268271130516e-10      -2.446070796188e-23       6.003918564351e-01       6.448628759832e-01      -1.691028173993e-10      -5.989337904727e-23       2.469811489576e-11      -1.268271130534e-10      -8.198672090622e-43      -1.407978914539e-23      -1.024575182649e-23 
       2.587265231423e+02       8.213801118035e-04      -1.704661055330e-10      -2.558591465833e-23       9.190022676263e-13       1.694749797508e-12       1.267025247262e-19       3.389499595016e-13      -1.278495791497e-10      -2.469691235108e-23       6.003266553165e-01       6.447433437182e-01      -1.704661055301e-10      -6.066353383497e-23       2.491027142314e-11      -1.278495791516e-10      -8.605276940779e-43      -1.118610307621e-23      -1.036703235116e-23 
       2.598717323223e+02       8.261858266177e-04      -1.718340030541e-10      -2.587894359330e-23       9.636068175178e-13       1.751781622819e-12       1.363954999568e-19       3.503563245639e-13      -1.288755022906e-10      -2.493246286345e-23       6.002588371056e-01       6.446245947041e-01      -1.718340030512e-10      -6.144003289295e-23       2.512328504426e-11      -1.288755022924e-10      -9.030391003983e-43      -8.156473186859e-24      -1.048913069079e-23 
       2.610169415024e+02       8.310018535316e-04      -1.732065037647e-10      -2.617518094264e-23       1.010326717683e-12       1.810477430252e-12       1.469000254754e-19       3.620954860505e-13      -1.299048778235e-10      -2.516722207169e-23       6.001882341344e-01       6.445066384751e-01      -1.732065037617e-10      -6.222289922004e-23       2.533715510684e-11      -1.299048778254e-10      -9.474776148002e-43      -4.986823653591e-24      -1.061205644648e-23 
       2.621621506824e+02       8.358281925451e-04      -1.745836015049e-10      -2.647474818725e-23       1.059277624189e-12       1.870744637034e-12       1.582547198263e-19       3.741489274069e-13      -1.309377011287e-10      -2.540104453543e-23       6.001147129435e-01       6.443894852639e-01      -1.745836015019e-10      -6.301215579048e-23       2.555188095134e-11      -1.309377011306e-10      -9.939222435429e-43      -1.672994024496e-24      -1.073581925064e-23 
