# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   90       3.164903367273e-10       8.239401492498e-14      -2.188792234530e-12       3.452184983927e-16       1.418067549507e-11       1.911622129098e-12      -1.071468794935e-14 
   91       3.202845592868e-10       8.443918776047e-14      -2.271589296496e-12       3.529865976544e-16       1.378880678156e-11       1.867852772623e-12      -1.052018783694e-14 
   92       3.241088388698e-10       8.648317218933e-14      -2.355157974795e-12       3.608430517919e-16       1.341028893874e-11       1.825440480216e-12      -1.029872201774e-14 
   93       3.279624399460e-10       8.852463595872e-14      -2.439467700106e-12       3.687879703813e-16       1.304376199980e-11       1.784251514110e-12      -1.005544427151e-14 
   94       3.318454651490e-10       9.056179904159e-14      -2.524455472170e-12       3.768219458022e-16       1.268905688322e-11       1.744276223561e-12      -9.794028287799e-15 
   95       3.357581178155e-10       9.259273112980e-14      -2.610047698474e-12       3.849457377390e-16       1.234623975239e-11       1.705529264346e-12      -9.517997300845e-15 
   96       3.397004362034e-10       9.461545685389e-14      -2.696167902568e-12       3.931601624861e-16       1.201527125407e-11       1.668014005449e-12      -9.231200063488e-15 
   97       3.436722860096e-10       9.662795571051e-14      -2.782736694342e-12       4.014660944095e-16       1.169600247607e-11       1.631722085867e-12      -8.937819340062e-15 
   98       3.476733528876e-10       9.862816198980e-14      -2.869671740293e-12       4.098644674065e-16       1.138817090496e-11       1.596632971427e-12      -8.642380399282e-15 
   99       3.517031349660e-10       1.006139647028e-13      -2.956887733797e-12       4.183562763675e-16       1.109139638377e-11       1.562713511586e-12      -8.349759507122e-15 
  100       3.557609353657e-10       1.025832075087e-13      -3.044296365382e-12       4.269425786358e-16       1.080517706975e-11       1.529917496248e-12      -8.065192419705e-15 
  101       3.598458547181e-10       1.045336886426e-13      -3.131806292997e-12       4.356244954689e-16       1.052888539199e-11       1.498185212569e-12      -7.794282876184e-15 
  102       3.639567836829e-10       1.064631608425e-13      -3.219323112283e-12       4.444032134992e-16       1.026176400921e-11       1.467443001769e-12      -7.543011091629e-15 
